Notes,ManualCheck,MergeInto,RenameKeyGroup,KeyParamGroup,KeyGroup,ParamGroup,Counts,Dim1Size,Dim2Size,Dim3Size,DwellTime,EchoTime,EffectiveEchoSpacing,FieldmapKey00,FlipAngle,IntendedForKey00,IntendedForKey01,IntendedForKey02,IntendedForKey03,IntendedForKey04,IntendedForKey05,NSliceTimes,NumVolumes,Obliquity,ParallelReductionFactorInPlane,PartialFourier,PhaseEncodingDirection,RepetitionTime,TotalReadoutTime,VoxelSizeDim1,VoxelSizeDim2,VoxelSizeDim3
,,,,acquisition-100_datatype-func_suffix-bold_task-rest__1,acquisition-100_datatype-func_suffix-bold_task-rest,1,72,64,64,46,,0.032,0.000550002,datatype-fmap_fmap-phase1_suffix-phase1,90,,,,,,,46,100.0,False,,1.0,j-,3.0,0.0346501,3.0,3.0,3.0
,,,,acquisition-100_datatype-func_suffix-bold_task-rest__2,acquisition-100_datatype-func_suffix-bold_task-rest,2,3,64,64,46,3.8e-06,0.032,0.000550002,datatype-fmap_fmap-phase1_suffix-phase1,90,,,,,,,46,100.0,False,,1.0,j-,3.0,0.0346501,3.0,3.0,3.0
,,,,acquisition-100_datatype-func_suffix-bold_task-rest__3,acquisition-100_datatype-func_suffix-bold_task-rest,3,2,64,64,46,,0.032,0.000550002,,90,,,,,,,46,100.0,False,,1.0,j-,3.0,0.0346501,3.0,3.0,3.0
,,,,acquisition-refaced_datatype-anat_suffix-T1w__1,acquisition-refaced_datatype-anat_suffix-T1w,1,1566,192,256,160,,0.00351,,,9,,,,,,,0,,False,2.0,1.0,,1.81,,0.938,0.938,1.0
,,,,acquisition-refaced_datatype-anat_suffix-T1w__2,acquisition-refaced_datatype-anat_suffix-T1w,2,30,192,256,160,1.5e-05,0.00351,,,9,,,,,,,0,,False,2.0,1.0,,1.81,,0.938,0.938,1.0
,,,,acquisition-refaced_datatype-anat_suffix-T1w__3,acquisition-refaced_datatype-anat_suffix-T1w,3,2,192,256,160,,0.00351,,,9,,,,,,,0,,True,2.0,1.0,,1.81,,0.938,0.938,1.0
,,,,acquisition-refaced_datatype-anat_suffix-T1w__4,acquisition-refaced_datatype-anat_suffix-T1w,4,1,192,256,160,,0.00351,,,9,,,,,,,0,,True,2.0,1.0,,1.81,,0.937,0.938,1.0
,,,,acquisition-refaced_datatype-anat_suffix-T1w__5,acquisition-refaced_datatype-anat_suffix-T1w,5,1,192,256,160,,0.00351,,,9,,,,,,,0,,False,,1.0,,1.81,,0.938,0.938,1.0
,,,,acquisition-refaced_datatype-anat_suffix-T1w__6,acquisition-refaced_datatype-anat_suffix-T1w,6,1,192,256,160,,0.004,,,9,,,,,,,0,,False,2.0,1.0,,1.85,,0.938,0.938,1.0
,,,,acquisition-singleband_datatype-func_suffix-bold_task-rest__1,acquisition-singleband_datatype-func_suffix-bold_task-rest,1,1353,64,64,46,,0.032,0.000550002,datatype-fmap_fmap-phase1_suffix-phase1,90,,,,,,,46,124.0,False,,1.0,j-,3.0,0.0346501,3.0,3.0,3.0
,,,,acquisition-singleband_datatype-func_suffix-bold_task-rest__2,acquisition-singleband_datatype-func_suffix-bold_task-rest,2,22,64,64,46,3.8e-06,0.032,0.000550002,datatype-fmap_fmap-phase1_suffix-phase1,90,,,,,,,46,124.0,False,,1.0,j-,3.0,0.0346501,3.0,3.0,3.0
,,,,acquisition-singleband_datatype-func_suffix-bold_task-rest__3,acquisition-singleband_datatype-func_suffix-bold_task-rest,3,20,64,64,46,,0.032,0.000550002,,90,,,,,,,46,124.0,False,,1.0,j-,3.0,0.0346501,3.0,3.0,3.0
,,,,acquisition-singleband_datatype-func_suffix-bold_task-rest__4,acquisition-singleband_datatype-func_suffix-bold_task-rest,4,8,64,64,46,,0.032,0.000550002,datatype-fmap_fmap-phase1_suffix-phase1,90,,,,,,,46,204.0,False,,1.0,j-,3.0,0.0346501,3.0,3.0,3.0
,,,,acquisition-singleband_datatype-func_suffix-bold_task-rest__5,acquisition-singleband_datatype-func_suffix-bold_task-rest,5,2,64,64,46,3.8e-06,0.032,0.000550002,,90,,,,,,,46,124.0,False,,1.0,j-,3.0,0.0346501,3.0,3.0,3.0
,,,,acquisition-singleband_datatype-func_suffix-bold_task-rest__6,acquisition-singleband_datatype-func_suffix-bold_task-rest,6,1,64,64,46,,0.032,0.000550002,datatype-fmap_fmap-phase1_suffix-phase1,90,,,,,,,46,124.0,True,,1.0,j-,3.0,0.0346501,3.0,3.0,3.0
,,,,acquisition-singleband_datatype-func_suffix-bold_task-rest__7,acquisition-singleband_datatype-func_suffix-bold_task-rest,7,1,64,64,46,,0.032,0.000550002,datatype-fmap_fmap-phase1_suffix-phase1,90,,,,,,,46,97.0,False,,1.0,j-,3.0,0.0346501,3.0,3.0,3.0
,,,,acquisition-singleband_datatype-func_suffix-bold_task-rest__8,acquisition-singleband_datatype-func_suffix-bold_task-rest,8,1,64,64,46,,0.032,0.000550002,datatype-fmap_fmap-phase1_suffix-phase1,90,,,,,,,46,108.0,False,,1.0,j-,3.0,0.0346501,3.0,3.0,3.0
,,,,acquisition-singleband_datatype-func_suffix-bold_task-rest__9,acquisition-singleband_datatype-func_suffix-bold_task-rest,9,1,64,64,46,,0.032,0.000550002,datatype-fmap_fmap-phase1_suffix-phase1,90,,,,,,,46,73.0,False,,1.0,j-,3.0,0.0346501,3.0,3.0,3.0
,,,,acquisition-singleband_datatype-func_suffix-bold_task-rest__10,acquisition-singleband_datatype-func_suffix-bold_task-rest,10,1,64,64,46,,0.032,0.000550002,datatype-fmap_fmap-phase1_suffix-phase1,90,,,,,,,46,101.0,False,,1.0,j-,3.0,0.0346501,3.0,3.0,3.0
,,,,acquisition-singleband_datatype-func_suffix-bold_task-rest__11,acquisition-singleband_datatype-func_suffix-bold_task-rest,11,1,64,64,46,,0.032,0.000550002,datatype-fmap_fmap-phase1_suffix-phase1,90,,,,,,,46,86.0,False,,1.0,j-,3.0,0.0346501,3.0,3.0,3.0
,,,,acquisition-singleband_datatype-func_suffix-bold_task-rest__12,acquisition-singleband_datatype-func_suffix-bold_task-rest,12,1,64,64,46,,0.032,0.000550002,datatype-fmap_fmap-phase1_suffix-phase1,90,,,,,,,46,84.0,False,,1.0,j-,3.0,0.0346501,3.0,3.0,3.0
,,,,acquisition-singleband_datatype-func_suffix-bold_task-rest__13,acquisition-singleband_datatype-func_suffix-bold_task-rest,13,1,64,64,46,,0.032,0.000550002,datatype-fmap_fmap-phase1_suffix-phase1,90,,,,,,,46,62.0,False,,1.0,j-,3.0,0.0346501,3.0,3.0,3.0
,,,,acquisition-singleband_datatype-func_suffix-bold_task-rest__14,acquisition-singleband_datatype-func_suffix-bold_task-rest,14,1,64,64,46,,0.032,0.000550002,datatype-fmap_fmap-phase1_suffix-phase1,90,,,,,,,46,19.0,False,,1.0,j-,3.0,0.0346501,3.0,3.0,3.0
,,,,acquisition-singleband_datatype-func_suffix-bold_task-rest__15,acquisition-singleband_datatype-func_suffix-bold_task-rest,15,1,64,64,46,,0.032,0.000550002,datatype-fmap_fmap-phase1_suffix-phase1,90,,,,,,,46,22.0,False,,1.0,j-,3.0,0.0346501,3.0,3.0,3.0
,,,,acquisition-singleband_datatype-func_suffix-bold_task-rest__16,acquisition-singleband_datatype-func_suffix-bold_task-rest,16,1,64,64,46,,0.032,0.000550002,datatype-fmap_fmap-phase1_suffix-phase1,90,,,,,,,46,24.0,False,,1.0,j-,3.0,0.0346501,3.0,3.0,3.0
,,,,acquisition-singleband_datatype-func_suffix-bold_task-rest__17,acquisition-singleband_datatype-func_suffix-bold_task-rest,17,1,64,64,46,,0.032,0.000550002,datatype-fmap_fmap-phase1_suffix-phase1,90,,,,,,,46,107.0,False,,1.0,j-,3.0,0.0346501,3.0,3.0,3.0
,,,,acquisition-singleband_datatype-func_suffix-bold_task-rest__18,acquisition-singleband_datatype-func_suffix-bold_task-rest,18,1,64,64,46,,0.032,0.000550002,datatype-fmap_fmap-phase1_suffix-phase1,90,,,,,,,46,83.0,False,,1.0,j-,3.0,0.0346501,3.0,3.0,3.0
,,,,acquisition-singleband_datatype-func_suffix-bold_task-rest__19,acquisition-singleband_datatype-func_suffix-bold_task-rest,19,1,64,64,46,,0.032,0.000550002,datatype-fmap_fmap-phase1_suffix-phase1,90,,,,,,,46,29.0,False,,1.0,j-,3.0,0.0346501,3.0,3.0,3.0
,,,,acquisition-singleband_datatype-func_suffix-bold_task-rest__20,acquisition-singleband_datatype-func_suffix-bold_task-rest,20,1,64,64,46,3.8e-06,0.032,0.000550002,datatype-fmap_fmap-phase1_suffix-phase1,90,,,,,,,46,99.0,False,,1.0,j-,3.0,0.0346501,3.0,3.0,3.0
,,,,acquisition-singleband_datatype-func_suffix-bold_task-rest__21,acquisition-singleband_datatype-func_suffix-bold_task-rest,21,1,64,64,46,,0.032,0.000550002,datatype-fmap_fmap-phase1_suffix-phase1,90,,,,,,,46,37.0,False,,1.0,j-,3.0,0.0346501,3.0,3.0,3.0
,,,,acquisition-singleband_datatype-func_suffix-bold_task-rest__22,acquisition-singleband_datatype-func_suffix-bold_task-rest,22,1,64,64,46,,0.032,0.000550002,datatype-fmap_fmap-phase1_suffix-phase1,90,,,,,,,46,123.0,False,,1.0,j-,3.0,0.0346501,3.0,3.0,3.0
,,,,acquisition-singleband_datatype-func_suffix-bold_task-rest__23,acquisition-singleband_datatype-func_suffix-bold_task-rest,23,1,64,64,46,,0.032,0.000550002,datatype-fmap_fmap-phase1_suffix-phase1,90,,,,,,,46,88.0,False,,1.0,j-,3.0,0.0346501,3.0,3.0,3.0
,,,,datatype-dwi_run-1_suffix-dwi__1,datatype-dwi_run-1_suffix-dwi,1,1358,128,128,70,,0.082,0.000266666,datatype-fmap_fmap-phase1_suffix-phase1,90,,,,,,,70,35.0,False,3.0,0.75,j-,8.1,0.0338665,1.875,1.875,2.0
,,,,datatype-dwi_run-1_suffix-dwi__2,datatype-dwi_run-1_suffix-dwi,2,27,128,128,70,,0.082,0.000266666,,90,,,,,,,70,35.0,False,3.0,0.75,j-,8.1,0.0338665,1.875,1.875,2.0
,,,,datatype-dwi_run-1_suffix-dwi__3,datatype-dwi_run-1_suffix-dwi,3,20,128,128,70,1.8e-06,0.082,0.000266666,datatype-fmap_fmap-phase1_suffix-phase1,90,,,,,,,70,35.0,False,3.0,0.75,j-,8.1,0.0338665,1.875,1.875,2.0
,,,,datatype-dwi_run-1_suffix-dwi__4,datatype-dwi_run-1_suffix-dwi,4,4,128,128,70,,0.082,0.000266666,datatype-fmap_fmap-phase1_suffix-phase1,90,,,,,,,70,35.0,False,3.0,0.75,j-,8.5,0.0338665,1.875,1.875,2.0
,,,,datatype-dwi_run-1_suffix-dwi__5,datatype-dwi_run-1_suffix-dwi,5,3,128,128,70,,0.082,0.000266666,datatype-fmap_fmap-phase1_suffix-phase1,90,,,,,,,70,35.0,False,3.0,0.75,j-,8.8,0.0338665,1.875,1.875,2.0
,,,,datatype-dwi_run-1_suffix-dwi__6,datatype-dwi_run-1_suffix-dwi,6,3,128,128,70,1.8e-06,0.082,0.000266666,,90,,,,,,,70,35.0,False,3.0,0.75,j-,8.1,0.0338665,1.875,1.875,2.0
,,,,datatype-dwi_run-1_suffix-dwi__7,datatype-dwi_run-1_suffix-dwi,7,2,128,128,70,,0.082,0.000266666,datatype-fmap_fmap-phase1_suffix-phase1,90,,,,,,,70,35.0,False,3.0,0.75,j-,8.2,0.0338665,1.875,1.875,2.0
,,,,datatype-dwi_run-1_suffix-dwi__8,datatype-dwi_run-1_suffix-dwi,8,2,128,128,46,,0.082,0.000266666,datatype-fmap_fmap-phase1_suffix-phase1,90,,,,,,,46,35.0,False,3.0,0.75,j-,8.1,0.0338665,1.875,1.875,3.0
,,,,datatype-dwi_run-1_suffix-dwi__9,datatype-dwi_run-1_suffix-dwi,9,1,128,128,70,,0.082,0.000266666,datatype-fmap_fmap-phase1_suffix-phase1,90,,,,,,,70,35.0,False,3.0,0.75,j-,8.3,0.0338665,1.875,1.875,2.0
,,,,datatype-dwi_run-1_suffix-dwi__10,datatype-dwi_run-1_suffix-dwi,10,1,128,128,70,,0.082,0.000266666,,90,,,,,,,70,14.0,False,3.0,0.75,j-,8.1,0.0338665,1.875,1.875,2.0
,,,,datatype-dwi_run-1_suffix-dwi__11,datatype-dwi_run-1_suffix-dwi,11,1,128,128,70,,0.082,0.000266666,,90,,,,,,,70,20.0,False,3.0,0.75,j-,8.1,0.0338665,1.875,1.875,2.0
,,,,datatype-dwi_run-1_suffix-dwi__12,datatype-dwi_run-1_suffix-dwi,12,1,128,128,70,1.8e-06,0.082,0.000266666,datatype-fmap_fmap-phase1_suffix-phase1,90,,,,,,,70,35.0,False,3.0,0.75,j-,8.3,0.0338665,1.875,1.875,2.0
,,,,datatype-dwi_run-1_suffix-dwi__13,datatype-dwi_run-1_suffix-dwi,13,1,128,128,70,,0.082,0.000266666,datatype-fmap_fmap-phase1_suffix-phase1,90,,,,,,,70,35.0,False,3.0,0.75,j-,9.2,0.0338665,1.875,1.875,2.0
,,,,datatype-dwi_run-1_suffix-dwi__14,datatype-dwi_run-1_suffix-dwi,14,1,128,128,70,,0.082,0.000266666,datatype-fmap_fmap-phase1_suffix-phase1,90,,,,,,,70,35.0,False,3.0,0.75,j-,9.3,0.0338665,1.875,1.875,2.0
,,,,datatype-dwi_run-1_suffix-dwi__15,datatype-dwi_run-1_suffix-dwi,15,1,128,128,70,,0.082,0.000266666,datatype-fmap_fmap-phase1_suffix-phase1,90,,,,,,,70,35.0,False,3.0,0.75,j-,9.1,0.0338665,1.875,1.875,2.0
,,,,datatype-dwi_run-1_suffix-dwi__16,datatype-dwi_run-1_suffix-dwi,16,1,128,128,70,,0.082,0.000266666,datatype-fmap_fmap-phase1_suffix-phase1,90,,,,,,,70,35.0,False,3.0,0.75,j-,9.4,0.0338665,1.875,1.875,2.0
,,,,datatype-dwi_run-1_suffix-dwi__17,datatype-dwi_run-1_suffix-dwi,17,1,128,128,70,,0.082,0.000266666,,90,,,,,,,70,6.0,False,3.0,0.75,j-,8.1,0.0338665,1.875,1.875,2.0
,,,,datatype-dwi_run-1_suffix-dwi__18,datatype-dwi_run-1_suffix-dwi,18,1,128,128,70,,0.082,0.000266666,datatype-fmap_fmap-phase1_suffix-phase1,90,,,,,,,70,33.0,False,3.0,0.75,j-,8.1,0.0338665,1.875,1.875,2.0
,,,,datatype-dwi_run-1_suffix-dwi__19,datatype-dwi_run-1_suffix-dwi,19,1,128,128,70,,0.082,0.000266666,datatype-fmap_fmap-phase1_suffix-phase1,90,,,,,,,70,21.0,False,3.0,0.75,j-,8.1,0.0338665,1.875,1.875,2.0
,,,,datatype-dwi_run-1_suffix-dwi__20,datatype-dwi_run-1_suffix-dwi,20,1,128,128,70,,0.082,0.000266666,datatype-fmap_fmap-phase1_suffix-phase1,90,,,,,,,70,35.0,True,3.0,0.75,j-,8.1,0.0338665,1.875,1.875,2.0
,,,,datatype-dwi_run-1_suffix-dwi__21,datatype-dwi_run-1_suffix-dwi,21,1,128,128,70,,0.082,0.000266666,,90,,,,,,,70,7.0,False,3.0,0.75,j-,8.1,0.0338665,1.875,1.875,2.0
,,,,datatype-dwi_run-1_suffix-dwi__22,datatype-dwi_run-1_suffix-dwi,22,1,128,128,70,,0.102,0.000799969,datatype-fmap_fmap-phase1_suffix-phase1,90,,,,,,,70,35.0,False,,0.75,j-,12.3,0.101596,1.875,1.875,2.0
,,,,datatype-dwi_run-1_suffix-dwi__23,datatype-dwi_run-1_suffix-dwi,23,1,128,128,70,,0.082,0.000266666,datatype-fmap_fmap-phase1_suffix-phase1,90,,,,,,,70,35.0,False,3.0,0.75,j-,8.4,0.0338665,1.875,1.875,2.0
,,,,datatype-dwi_run-1_suffix-dwi__24,datatype-dwi_run-1_suffix-dwi,24,1,128,128,70,,0.082,0.000266666,datatype-fmap_fmap-phase1_suffix-phase1,90,,,,,,,70,35.0,False,3.0,0.75,j-,9.8,0.0338665,1.875,1.875,2.0
,,,,datatype-dwi_run-1_suffix-dwi__25,datatype-dwi_run-1_suffix-dwi,25,1,128,128,70,,0.082,0.000266666,datatype-fmap_fmap-phase1_suffix-phase1,90,,,,,,,70,35.0,False,3.0,0.75,j-,9.0,0.0338665,1.875,1.875,2.0
,,,,datatype-dwi_run-1_suffix-dwi__26,datatype-dwi_run-1_suffix-dwi,26,1,128,128,70,1.8e-06,0.082,0.000266666,datatype-fmap_fmap-phase1_suffix-phase1,90,,,,,,,70,16.0,False,3.0,0.75,j-,8.1,0.0338665,1.875,1.875,2.0
,,,,datatype-dwi_run-1_suffix-dwi__27,datatype-dwi_run-1_suffix-dwi,27,1,128,128,70,,0.082,0.000266666,datatype-fmap_fmap-phase1_suffix-phase1,90,,,,,,,70,35.0,False,3.0,0.75,j-,8.6,0.0338665,1.875,1.875,2.0
,,,,datatype-dwi_run-2_suffix-dwi__1,datatype-dwi_run-2_suffix-dwi,1,1351,128,128,70,,0.082,0.000266666,datatype-fmap_fmap-phase1_suffix-phase1,90,,,,,,,70,36.0,False,3.0,0.75,j-,8.1,0.0338665,1.875,1.875,2.0
,,,,datatype-dwi_run-2_suffix-dwi__2,datatype-dwi_run-2_suffix-dwi,2,22,128,128,70,,0.082,0.000266666,,90,,,,,,,70,36.0,False,3.0,0.75,j-,8.1,0.0338665,1.875,1.875,2.0
,,,,datatype-dwi_run-2_suffix-dwi__3,datatype-dwi_run-2_suffix-dwi,3,19,128,128,70,1.8e-06,0.082,0.000266666,datatype-fmap_fmap-phase1_suffix-phase1,90,,,,,,,70,36.0,False,3.0,0.75,j-,8.1,0.0338665,1.875,1.875,2.0
,,,,datatype-dwi_run-2_suffix-dwi__4,datatype-dwi_run-2_suffix-dwi,4,4,128,128,70,,0.082,0.000266666,datatype-fmap_fmap-phase1_suffix-phase1,90,,,,,,,70,36.0,False,3.0,0.75,j-,8.5,0.0338665,1.875,1.875,2.0
,,,,datatype-dwi_run-2_suffix-dwi__5,datatype-dwi_run-2_suffix-dwi,5,3,128,128,70,,0.082,0.000266666,datatype-fmap_fmap-phase1_suffix-phase1,90,,,,,,,70,36.0,False,3.0,0.75,j-,8.8,0.0338665,1.875,1.875,2.0
,,,,datatype-dwi_run-2_suffix-dwi__6,datatype-dwi_run-2_suffix-dwi,6,2,128,128,46,,0.082,0.000266666,datatype-fmap_fmap-phase1_suffix-phase1,90,,,,,,,46,36.0,False,3.0,0.75,j-,8.1,0.0338665,1.875,1.875,3.0
,,,,datatype-dwi_run-2_suffix-dwi__7,datatype-dwi_run-2_suffix-dwi,7,2,128,128,70,,0.082,0.000266666,datatype-fmap_fmap-phase1_suffix-phase1,90,,,,,,,70,36.0,False,3.0,0.75,j-,8.2,0.0338665,1.875,1.875,2.0
,,,,datatype-dwi_run-2_suffix-dwi__8,datatype-dwi_run-2_suffix-dwi,8,2,128,128,70,1.8e-06,0.082,0.000266666,,90,,,,,,,70,36.0,False,3.0,0.75,j-,8.1,0.0338665,1.875,1.875,2.0
,,,,datatype-dwi_run-2_suffix-dwi__9,datatype-dwi_run-2_suffix-dwi,9,1,128,128,70,,0.082,0.000266666,,90,,,,,,,70,30.0,False,3.0,0.75,j-,8.1,0.0338665,1.875,1.875,2.0
,,,,datatype-dwi_run-2_suffix-dwi__10,datatype-dwi_run-2_suffix-dwi,10,1,128,128,70,,0.082,0.000266666,datatype-fmap_fmap-phase1_suffix-phase1,90,,,,,,,70,36.0,False,3.0,0.75,j-,8.3,0.0338665,1.875,1.875,2.0
,,,,datatype-dwi_run-2_suffix-dwi__11,datatype-dwi_run-2_suffix-dwi,11,1,128,128,70,,0.082,0.000266666,,90,,,,,,,70,4.0,False,3.0,0.75,j-,8.1,0.0338665,1.875,1.875,2.0
,,,,datatype-dwi_run-2_suffix-dwi__12,datatype-dwi_run-2_suffix-dwi,12,1,128,128,70,,0.082,0.000266666,datatype-fmap_fmap-phase1_suffix-phase1,90,,,,,,,70,36.0,False,3.0,0.75,j-,8.4,0.0338665,1.875,1.875,2.0
,,,,datatype-dwi_run-2_suffix-dwi__13,datatype-dwi_run-2_suffix-dwi,13,1,128,128,70,,0.082,0.000266666,datatype-fmap_fmap-phase1_suffix-phase1,90,,,,,,,70,36.0,False,3.0,0.75,j-,9.8,0.0338665,1.875,1.875,2.0
,,,,datatype-dwi_run-2_suffix-dwi__14,datatype-dwi_run-2_suffix-dwi,14,1,128,128,70,,0.082,0.000266666,datatype-fmap_fmap-phase1_suffix-phase1,90,,,,,,,70,36.0,False,3.0,0.75,j-,9.0,0.0338665,1.875,1.875,2.0
,,,,datatype-dwi_run-2_suffix-dwi__15,datatype-dwi_run-2_suffix-dwi,15,1,128,128,70,1.8e-06,0.082,0.000266666,,90,,,,,,,70,12.0,False,3.0,0.75,j-,8.1,0.0338665,1.875,1.875,2.0
,,,,datatype-dwi_run-2_suffix-dwi__16,datatype-dwi_run-2_suffix-dwi,16,1,128,128,70,,0.082,0.000266666,datatype-fmap_fmap-phase1_suffix-phase1,90,,,,,,,70,36.0,True,3.0,0.75,j-,8.1,0.0338665,1.875,1.875,2.0
,,,,datatype-dwi_run-2_suffix-dwi__17,datatype-dwi_run-2_suffix-dwi,17,1,128,128,70,,0.082,0.000266666,datatype-fmap_fmap-phase1_suffix-phase1,90,,,,,,,70,36.0,False,3.0,0.75,j-,9.1,0.0338665,1.875,1.875,2.0
,,,,datatype-dwi_run-2_suffix-dwi__18,datatype-dwi_run-2_suffix-dwi,18,1,128,128,70,,0.082,0.000266666,datatype-fmap_fmap-phase1_suffix-phase1,90,,,,,,,70,36.0,False,3.0,0.75,j-,9.3,0.0338665,1.875,1.875,2.0
,,,,datatype-dwi_run-2_suffix-dwi__19,datatype-dwi_run-2_suffix-dwi,19,1,128,128,70,,0.082,0.000266666,datatype-fmap_fmap-phase1_suffix-phase1,90,,,,,,,70,36.0,False,3.0,0.75,j-,9.2,0.0338665,1.875,1.875,2.0
,,,,datatype-dwi_run-2_suffix-dwi__20,datatype-dwi_run-2_suffix-dwi,20,1,128,128,70,1.8e-06,0.082,0.000266666,datatype-fmap_fmap-phase1_suffix-phase1,90,,,,,,,70,36.0,False,3.0,0.75,j-,8.3,0.0338665,1.875,1.875,2.0
,,,,datatype-dwi_run-2_suffix-dwi__21,datatype-dwi_run-2_suffix-dwi,21,1,128,128,70,,0.082,0.000266666,,90,,,,,,,70,32.0,False,3.0,0.75,j-,8.1,0.0338665,1.875,1.875,2.0
,,,,datatype-dwi_run-2_suffix-dwi__22,datatype-dwi_run-2_suffix-dwi,22,1,128,128,70,,0.082,0.000266666,,90,,,,,,,70,8.0,False,3.0,0.75,j-,8.1,0.0338665,1.875,1.875,2.0
,,,,datatype-dwi_run-2_suffix-dwi__23,datatype-dwi_run-2_suffix-dwi,23,1,128,128,70,,0.082,0.000266666,datatype-fmap_fmap-phase1_suffix-phase1,90,,,,,,,70,36.0,False,3.0,0.75,j-,8.6,0.0338665,1.875,1.875,2.0
,,,,datatype-fmap_fmap-magnitude1_suffix-magnitude1__1,datatype-fmap_fmap-magnitude1_suffix-magnitude1,1,1249,64,64,44,,0.00269,,,60,acquisition-singleband_datatype-func_suffix-bold_task-rest,datatype-dwi_run-1_suffix-dwi,datatype-dwi_run-2_suffix-dwi,datatype-func_suffix-bold_task-frac2back,datatype-func_suffix-bold_task-idemo,,0,,False,,1.0,j-,1.0,,3.75,3.75,4.0
,,,,datatype-fmap_fmap-magnitude1_suffix-magnitude1__2,datatype-fmap_fmap-magnitude1_suffix-magnitude1,2,70,64,64,44,,0.00269,,,60,acquisition-100_datatype-func_suffix-bold_task-rest,acquisition-singleband_datatype-func_suffix-bold_task-rest,datatype-dwi_run-1_suffix-dwi,datatype-dwi_run-2_suffix-dwi,datatype-func_suffix-bold_task-frac2back,datatype-func_suffix-bold_task-idemo,0,,False,,1.0,j-,1.0,,3.75,3.75,4.0
,,,,datatype-fmap_fmap-magnitude1_suffix-magnitude1__3,datatype-fmap_fmap-magnitude1_suffix-magnitude1,3,45,64,64,44,,0.00269,,,60,datatype-func_suffix-bold_task-frac2back,datatype-func_suffix-bold_task-idemo,,,,,0,,False,,1.0,j-,1.0,,3.75,3.75,4.0
,,,,datatype-fmap_fmap-magnitude1_suffix-magnitude1__4,datatype-fmap_fmap-magnitude1_suffix-magnitude1,4,24,64,64,44,,0.00269,,,60,acquisition-singleband_datatype-func_suffix-bold_task-rest,datatype-func_suffix-bold_task-frac2back,datatype-func_suffix-bold_task-idemo,,,,0,,False,,1.0,j-,1.0,,3.75,3.75,4.0
