Notes,ManualCheck,RenameKeyGroup,MergeInto,KeyGroup,ParamGroup,Counts,DwellTime,EchoTime,EffectiveEchoSpacing,FieldmapKey00,FlipAngle,IntendedForKey00,IntendedForKey01,IntendedForKey02,IntendedForKey03,IntendedForKey04,IntendedForKey05,IntendedForKey06,IntendedForKey07,NSliceTimes,ParallelReductionFactorInPlane,PartialFourier,PhaseEncodingDirection,RepetitionTime,TotalReadoutTime
dominant group,,,,acquisition-100_datatype-func_suffix-bold_task-rest,1,72,,0.032,0.000550002,datatype-fmap_fmap-phase1_suffix-phase1,90,,,,,,,,,46,,1,j-,3,0.0346501
no field map,1,,,acquisition-100_datatype-func_suffix-bold_task-rest,2,2,,0.032,0.000550002,,90,,,,,,,,,46,,1,j-,3,0.0346501
dwell time,,,,acquisition-100_datatype-func_suffix-bold_task-rest,3,3,3.8E-06,0.032,0.000550002,datatype-fmap_fmap-phase1_suffix-phase1,90,,,,,,,,,46,,1,j-,3,0.0346501
dominant group,,,,acquisition-gre_suffix-asl,1,179,,0.015,0.000399995,datatype-fmap_fmap-phase1_suffix-phase1,90,,,,,,,,,20,2,0.75,j-,4,0.0379995
tr,,,,acquisition-gre_suffix-asl,2,1,,0.015,0.000399995,datatype-fmap_fmap-phase1_suffix-phase1,90,,,,,,,,,20,2,0.75,j-,4.34,0.0379995
??,1,,,acquisition-gre_suffix-asl,3,1,,0.015,0.000399995,datatype-fmap_fmap-phase1_suffix-phase1,59,,,,,,,,,20,2,0.75,j-,4,0.0379995
tr,,,,acquisition-gre_suffix-asl,4,1,,0.015,0.000399995,datatype-fmap_fmap-phase1_suffix-phase1,90,,,,,,,,,20,2,0.75,j-,4.15,0.0379995
tr,,,,acquisition-gre_suffix-asl,5,1,,0.015,0.000399995,datatype-fmap_fmap-phase1_suffix-phase1,90,,,,,,,,,20,2,0.75,j-,4.11,0.0379995
dwell time,,,,acquisition-gre_suffix-asl,6,2,2E-06,0.015,0.000399995,datatype-fmap_fmap-phase1_suffix-phase1,90,,,,,,,,,20,2,0.75,j-,4,0.0379995
no field map,1,,,acquisition-gre_suffix-asl,7,2,,0.015,0.000399995,,90,,,,,,,,,20,2,0.75,j-,4,0.0379995
dominant group,,,,acquisition-refaced_datatype-anat_suffix-T1w,1,1568,,0.00351,,,9,,,,,,,,,0,2,1,,1.81,
dwell time,,,,acquisition-refaced_datatype-anat_suffix-T1w,2,30,1.5E-05,0.00351,,,9,,,,,,,,,0,2,1,,1.81,
missing parallel factor,1,,,acquisition-refaced_datatype-anat_suffix-T1w,3,1,,0.00351,,,9,,,,,,,,,0,,1,,1.81,
field map assigned incorrectly,1,,,acquisition-refaced_datatype-anat_suffix-T1w,4,1,,0.00351,,datatype-fmap_fmap-phasediff_suffix-phasediff,9,,,,,,,,,0,2,1,,1.81,
different TR and TE,1,,,acquisition-refaced_datatype-anat_suffix-T1w,5,1,,0.004,,,9,,,,,,,,,0,2,1,,1.85,
dominant group,,,,acquisition-se_suffix-asl,1,1380,,0.029,0.000345003,datatype-fmap_fmap-phase1_suffix-phase1,90,,,,,,,,,20,2,0.875,j-,4,0.0327753
tr,,acquisition-seVariantTR_suffix-asl,,acquisition-se_suffix-asl,2,2,,0.029,0.000345003,datatype-fmap_fmap-phase1_suffix-phase1,90,,,,,,,,,20,2,0.875,j-,4.2,0.0327753
no field map,1,,,acquisition-se_suffix-asl,3,56,,0.029,0.000345003,,90,,,,,,,,,20,2,0.875,j-,4,0.0327753
phasedif field map,,,,acquisition-se_suffix-asl,4,15,,0.029,0.000345003,datatype-fmap_fmap-phasediff_suffix-phasediff,90,,,,,,,,,20,2,0.875,j-,4,0.0327753
tr,,acquisition-seVariantTR_suffix-asl,,acquisition-se_suffix-asl,5,1,,0.029,0.000345003,datatype-fmap_fmap-phase1_suffix-phase1,90,,,,,,,,,20,2,0.875,j-,5.36,0.0327753
tr,,acquisition-seVariantTR_suffix-asl,,acquisition-se_suffix-asl,6,2,,0.029,0.000345003,datatype-fmap_fmap-phase1_suffix-phase1,90,,,,,,,,,20,2,0.875,j-,4.43,0.0327753
tr,,acquisition-seVariantTR_suffix-asl,,acquisition-se_suffix-asl,7,2,,0.029,0.000345003,datatype-fmap_fmap-phase1_suffix-phase1,90,,,,,,,,,20,2,0.875,j-,4.18,0.0327753
tr,,acquisition-seVariantTR_suffix-asl,,acquisition-se_suffix-asl,8,2,,0.029,0.000345003,datatype-fmap_fmap-phase1_suffix-phase1,90,,,,,,,,,20,2,0.875,j-,4.23,0.0327753
"dwell time, phasediff",,,,acquisition-se_suffix-asl,9,2,2.7E-06,0.029,0.000345003,datatype-fmap_fmap-phasediff_suffix-phasediff,90,,,,,,,,,20,2,0.875,j-,4,0.0327753
dwell time,,,,acquisition-se_suffix-asl,10,22,2.7E-06,0.029,0.000345003,datatype-fmap_fmap-phase1_suffix-phase1,90,,,,,,,,,20,2,0.875,j-,4,0.0327753
tr,,acquisition-seVariantTR_suffix-asl,,acquisition-se_suffix-asl,11,2,,0.029,0.000345003,datatype-fmap_fmap-phase1_suffix-phase1,90,,,,,,,,,20,2,0.875,j-,4.34,0.0327753
tr,,acquisition-seVariantTR_suffix-asl,,acquisition-se_suffix-asl,12,2,,0.029,0.000345003,datatype-fmap_fmap-phase1_suffix-phase1,90,,,,,,,,,20,2,0.875,j-,4.11,0.0327753
tr,,acquisition-seVariantTR_suffix-asl,,acquisition-se_suffix-asl,13,1,,0.029,0.000345003,datatype-fmap_fmap-phase1_suffix-phase1,90,,,,,,,,,20,2,0.875,j-,4.16,0.0327753
tr,,acquisition-seVariantTR_suffix-asl,,acquisition-se_suffix-asl,14,1,,0.029,0.000345003,datatype-fmap_fmap-phase1_suffix-phase1,90,,,,,,,,,20,2,0.875,j-,5.09,0.0327753
tr,,acquisition-seVariantTR_suffix-asl,,acquisition-se_suffix-asl,15,1,,0.029,0.000345003,datatype-fmap_fmap-phase1_suffix-phase1,90,,,,,,,,,20,2,0.875,j-,5.06,0.0327753
tr,,acquisition-seVariantTR_suffix-asl,,acquisition-se_suffix-asl,16,1,,0.029,0.000345003,datatype-fmap_fmap-phase1_suffix-phase1,90,,,,,,,,,20,2,0.875,j-,4.92,0.0327753
tr,,acquisition-seVariantTR_suffix-asl,,acquisition-se_suffix-asl,17,1,,0.029,0.000345003,datatype-fmap_fmap-phase1_suffix-phase1,90,,,,,,,,,20,2,0.875,j-,4.84,0.0327753
tr,,acquisition-seVariantTR_suffix-asl,,acquisition-se_suffix-asl,18,1,,0.029,0.000345003,datatype-fmap_fmap-phase1_suffix-phase1,90,,,,,,,,,20,2,0.875,j-,4.8,0.0327753
tr,,acquisition-seVariantTR_suffix-asl,,acquisition-se_suffix-asl,19,1,,0.029,0.000345003,datatype-fmap_fmap-phase1_suffix-phase1,90,,,,,,,,,20,2,0.875,j-,4.95,0.0327753
tr,,acquisition-seVariantTR_suffix-asl,,acquisition-se_suffix-asl,20,1,,0.029,0.000345003,,90,,,,,,,,,20,2,0.875,j-,5.24,0.0327753
tr,,acquisition-seVariantTR_suffix-asl,,acquisition-se_suffix-asl,21,2,,0.029,0.000345003,datatype-fmap_fmap-phase1_suffix-phase1,90,,,,,,,,,20,2,0.875,j-,4.41,0.0327753
tr,,acquisition-seVariantTR_suffix-asl,,acquisition-se_suffix-asl,22,2,,0.029,0.000345003,datatype-fmap_fmap-phase1_suffix-phase1,90,,,,,,,,,20,2,0.875,j-,5.27,0.0327753
tr,,acquisition-seVariantTR_suffix-asl,,acquisition-se_suffix-asl,23,2,,0.029,0.000345003,datatype-fmap_fmap-phase1_suffix-phase1,90,,,,,,,,,20,2,0.875,j-,4.19,0.0327753
???,1,,,acquisition-se_suffix-asl,24,1,,0.029,0.000345003,datatype-fmap_fmap-phase1_suffix-phase1,90,,,,,,,,,19,2,0.875,j-,4,0.0327753
tr,,acquisition-seVariantTR_suffix-asl,,acquisition-se_suffix-asl,25,1,,0.029,0.000345003,datatype-fmap_fmap-phase1_suffix-phase1,90,,,,,,,,,20,2,0.875,j-,4.29,0.0327753
tr,,acquisition-seVariantTR_suffix-asl,,acquisition-se_suffix-asl,26,1,,0.029,0.000345003,datatype-fmap_fmap-phase1_suffix-phase1,90,,,,,,,,,20,2,0.875,j-,4.31,0.0327753
tr,,acquisition-seVariantTR_suffix-asl,,acquisition-se_suffix-asl,27,1,,0.029,0.000345003,datatype-fmap_fmap-phase1_suffix-phase1,90,,,,,,,,,20,2,0.875,j-,4.37,0.0327753
tr,,acquisition-seVariantTR_suffix-asl,,acquisition-se_suffix-asl,28,2,,0.029,0.000345003,datatype-fmap_fmap-phase1_suffix-phase1,90,,,,,,,,,20,2,0.875,j-,4.38,0.0327753
tr,,acquisition-seVariantTR_suffix-asl,,acquisition-se_suffix-asl,29,1,,0.029,0.000345003,datatype-fmap_fmap-phase1_suffix-phase1,90,,,,,,,,,20,2,0.875,j-,4.93,0.0327753
tr,,acquisition-seVariantTR_suffix-asl,,acquisition-se_suffix-asl,30,1,,0.029,0.000345003,datatype-fmap_fmap-phase1_suffix-phase1,90,,,,,,,,,20,2,0.875,j-,5.84,0.0327753
tr,,acquisition-seVariantTR_suffix-asl,,acquisition-se_suffix-asl,31,1,,0.029,0.000345003,datatype-fmap_fmap-phase1_suffix-phase1,90,,,,,,,,,20,2,0.875,j-,4.1,0.0327753
tr,,acquisition-seVariantTR_suffix-asl,,acquisition-se_suffix-asl,32,2,,0.029,0.000345003,datatype-fmap_fmap-phase1_suffix-phase1,90,,,,,,,,,20,2,0.875,j-,4.53,0.0327753
tr,,acquisition-seVariantTR_suffix-asl,,acquisition-se_suffix-asl,33,1,,0.029,0.000345003,datatype-fmap_fmap-phase1_suffix-phase1,90,,,,,,,,,20,2,0.875,j-,4.77,0.0327753
tr,,acquisition-seVariantTR_suffix-asl,,acquisition-se_suffix-asl,34,1,,0.029,0.000345003,datatype-fmap_fmap-phase1_suffix-phase1,90,,,,,,,,,20,2,0.875,j-,4.3,0.0327753
tr,,acquisition-seVariantTR_suffix-asl,,acquisition-se_suffix-asl,35,2,,0.029,0.000345003,datatype-fmap_fmap-phase1_suffix-phase1,90,,,,,,,,,20,2,0.875,j-,4.87,0.0327753
"tr, dwell time",,acquisition-seVariantTR_suffix-asl,,acquisition-se_suffix-asl,36,1,2.7E-06,0.029,0.000345003,datatype-fmap_fmap-phase1_suffix-phase1,90,,,,,,,,,20,2,0.875,j-,4.87,0.0327753
tr,,acquisition-seVariantTR_suffix-asl,,acquisition-se_suffix-asl,37,1,,0.029,0.000345003,datatype-fmap_fmap-phase1_suffix-phase1,90,,,,,,,,,20,2,0.875,j-,5.28,0.0327753
tr,,acquisition-seVariantTR_suffix-asl,,acquisition-se_suffix-asl,38,1,,0.029,0.000345003,datatype-fmap_fmap-phase1_suffix-phase1,90,,,,,,,,,20,2,0.875,j-,4.88,0.0327753
tr,,acquisition-seVariantTR_suffix-asl,,acquisition-se_suffix-asl,39,1,,0.029,0.000345003,datatype-fmap_fmap-phase1_suffix-phase1,90,,,,,,,,,20,2,0.875,j-,4.15,0.0327753
tr,,acquisition-seVariantTR_suffix-asl,,acquisition-se_suffix-asl,40,1,,0.047,0.000579993,datatype-fmap_fmap-phase1_suffix-phase1,90,,,,,,,,,20,,0.875,j-,4.52,0.0550993
tr,,acquisition-seVariantTR_suffix-asl,,acquisition-se_suffix-asl,41,1,,0.029,0.000345003,datatype-fmap_fmap-phase1_suffix-phase1,90,,,,,,,,,20,2,0.875,j-,4.02,0.0327753
tr,,acquisition-seVariantTR_suffix-asl,,acquisition-se_suffix-asl,42,1,,0.029,0.000345003,datatype-fmap_fmap-phase1_suffix-phase1,90,,,,,,,,,20,2,0.875,j-,5.1,0.0327753
tr,,acquisition-seVariantTR_suffix-asl,,acquisition-se_suffix-asl,43,1,,0.029,0.000345003,,90,,,,,,,,,20,2,0.875,j-,4.51,0.0327753
tr,,acquisition-seVariantTR_suffix-asl,,acquisition-se_suffix-asl,44,1,,0.029,0.000345003,datatype-fmap_fmap-phase1_suffix-phase1,90,,,,,,,,,20,2,0.875,j-,4.24,0.0327753
tr,,acquisition-seVariantTR_suffix-asl,,acquisition-se_suffix-asl,45,1,,0.029,0.000345003,datatype-fmap_fmap-phase1_suffix-phase1,90,,,,,,,,,20,2,0.875,j-,4.01,0.0327753
tr,,acquisition-seVariantTR_suffix-asl,,acquisition-se_suffix-asl,46,1,,0.033,0.000399995,datatype-fmap_fmap-phase1_suffix-phase1,90,,,,,,,,,20,2,0.875,j-,4.08,0.0379995
tr,,acquisition-seVariantTR_suffix-asl,,acquisition-se_suffix-asl,47,1,,0.029,0.000345003,datatype-fmap_fmap-phase1_suffix-phase1,90,,,,,,,,,20,2,0.875,j-,5.11,0.0327753
tr,,acquisition-seVariantTR_suffix-asl,,acquisition-se_suffix-asl,48,1,,0.029,0.000345003,datatype-fmap_fmap-phase1_suffix-phase1,90,,,,,,,,,20,2,0.875,j-,5.63,0.0327753
tr,,acquisition-seVariantTR_suffix-asl,,acquisition-se_suffix-asl,49,1,,0.029,0.000345003,datatype-fmap_fmap-phase1_suffix-phase1,90,,,,,,,,,20,2,0.875,j-,4.68,0.0327753
tr,,acquisition-seVariantTR_suffix-asl,,acquisition-se_suffix-asl,50,1,,0.029,0.000345003,datatype-fmap_fmap-phase1_suffix-phase1,90,,,,,,,,,20,2,0.875,j-,4.86,0.0327753
tr,,acquisition-seVariantTR_suffix-asl,,acquisition-se_suffix-asl,51,1,,0.029,0.000345003,datatype-fmap_fmap-phase1_suffix-phase1,90,,,,,,,,,20,2,0.875,j-,5.45,0.0327753
tr,,acquisition-seVariantTR_suffix-asl,,acquisition-se_suffix-asl,52,1,,0.029,0.000345003,datatype-fmap_fmap-phase1_suffix-phase1,90,,,,,,,,,20,2,0.875,j-,5.56,0.0327753
tr,,acquisition-seVariantTR_suffix-asl,,acquisition-se_suffix-asl,53,1,,0.029,0.000345003,datatype-fmap_fmap-phase1_suffix-phase1,90,,,,,,,,,20,2,0.875,j-,4.05,0.0327753
tr,,acquisition-seVariantTR_suffix-asl,,acquisition-se_suffix-asl,54,1,,0.029,0.000345003,datatype-fmap_fmap-phase1_suffix-phase1,90,,,,,,,,,20,2,0.875,j-,5.5,0.0327753
tr,,acquisition-seVariantTR_suffix-asl,,acquisition-se_suffix-asl,55,1,,0.029,0.000345003,datatype-fmap_fmap-phase1_suffix-phase1,90,,,,,,,,,20,2,0.875,j-,4.27,0.0327753
tr,,acquisition-seVariantTR_suffix-asl,,acquisition-se_suffix-asl,56,1,,0.029,0.000345003,datatype-fmap_fmap-phase1_suffix-phase1,90,,,,,,,,,20,2,0.875,j-,4.78,0.0327753
tr,,acquisition-seVariantTR_suffix-asl,,acquisition-se_suffix-asl,57,1,,0.029,0.000345003,datatype-fmap_fmap-phase1_suffix-phase1,90,,,,,,,,,20,2,0.875,j-,4.72,0.0327753
"no field map, dwell time",1,,,acquisition-se_suffix-asl,58,2,2.7E-06,0.029,0.000345003,,90,,,,,,,,,20,2,0.875,j-,4,0.0327753
"tr, dwell time",,,,acquisition-se_suffix-asl,59,1,2.7E-06,0.029,0.000345003,datatype-fmap_fmap-phase1_suffix-phase1,90,,,,,,,,,20,2,0.875,j-,4.99,0.0327753
tr,,acquisition-seVariantTR_suffix-asl,,acquisition-se_suffix-asl,60,1,,0.029,0.000345003,datatype-fmap_fmap-phase1_suffix-phase1,90,,,,,,,,,20,2,0.875,j-,4.66,0.0327753
tr,,acquisition-seVariantTR_suffix-asl,,acquisition-se_suffix-asl,61,2,,0.029,0.000345003,datatype-fmap_fmap-phase1_suffix-phase1,90,,,,,,,,,20,2,0.875,j-,4.5,0.0327753
tr,,acquisition-seVariantTR_suffix-asl,,acquisition-se_suffix-asl,62,1,,0.029,0.000345003,datatype-fmap_fmap-phase1_suffix-phase1,90,,,,,,,,,20,2,0.875,j-,4.49,0.0327753
tr,,acquisition-seVariantTR_suffix-asl,,acquisition-se_suffix-asl,63,2,,0.029,0.000345003,datatype-fmap_fmap-phase1_suffix-phase1,90,,,,,,,,,20,2,0.875,j-,4.76,0.0327753
tr,,acquisition-seVariantTR_suffix-asl,,acquisition-se_suffix-asl,64,1,,0.029,0.000345003,datatype-fmap_fmap-phase1_suffix-phase1,90,,,,,,,,,20,2,0.875,j-,5.16,0.0327753
tr,,acquisition-seVariantTR_suffix-asl,,acquisition-se_suffix-asl,65,1,,0.029,0.000345003,datatype-fmap_fmap-phase1_suffix-phase1,90,,,,,,,,,20,2,0.875,j-,4.14,0.0327753
dominant group,,,,acquisition-singleband_datatype-func_suffix-bold_task-rest,1,1378,,0.032,0.000550002,datatype-fmap_fmap-phase1_suffix-phase1,90,,,,,,,,,46,,1,j-,3,0.0346501
phasedif field map,,,,acquisition-singleband_datatype-func_suffix-bold_task-rest,2,15,,0.032,0.000550002,datatype-fmap_fmap-phasediff_suffix-phasediff,90,,,,,,,,,46,,1,j-,3,0.0346501
"phasedif, dwell time",,,,acquisition-singleband_datatype-func_suffix-bold_task-rest,3,2,3.8E-06,0.032,0.000550002,datatype-fmap_fmap-phasediff_suffix-phasediff,90,,,,,,,,,46,,1,j-,3,0.0346501
dwell time,,,,acquisition-singleband_datatype-func_suffix-bold_task-rest,4,23,3.8E-06,0.032,0.000550002,datatype-fmap_fmap-phase1_suffix-phase1,90,,,,,,,,,46,,1,j-,3,0.0346501
no field map,1,,,acquisition-singleband_datatype-func_suffix-bold_task-rest,5,5,,0.032,0.000550002,,90,,,,,,,,,46,,1,j-,3,0.0346501
dominant group,,,,datatype-dwi_run-1_suffix-dwi,1,1361,,0.082,0.000266666,datatype-fmap_fmap-phase1_suffix-phase1,90,,,,,,,,,70,3,0.75,j-,8.1,0.0338665
tr,,acquisition-VariantTr_datatype-dwi_run-1_suffix-dwi,,datatype-dwi_run-1_suffix-dwi,2,1,,0.082,0.000266666,datatype-fmap_fmap-phase1_suffix-phase1,90,,,,,,,,,70,3,0.75,j-,8.4,0.0338665
phasedif field map,,,,datatype-dwi_run-1_suffix-dwi,3,15,,0.082,0.000266666,datatype-fmap_fmap-phasediff_suffix-phasediff,90,,,,,,,,,70,3,0.75,j-,8.1,0.0338665
tr,,acquisition-VariantTr_datatype-dwi_run-1_suffix-dwi,,datatype-dwi_run-1_suffix-dwi,4,1,,0.082,0.000266666,datatype-fmap_fmap-phase1_suffix-phase1,90,,,,,,,,,70,3,0.75,j-,9,0.0338665
"phasedif, dwell time",,,,datatype-dwi_run-1_suffix-dwi,5,2,1.8E-06,0.082,0.000266666,datatype-fmap_fmap-phasediff_suffix-phasediff,90,,,,,,,,,70,3,0.75,j-,8.1,0.0338665
dwell time,,,,datatype-dwi_run-1_suffix-dwi,6,21,1.8E-06,0.082,0.000266666,datatype-fmap_fmap-phase1_suffix-phase1,90,,,,,,,,,70,3,0.75,j-,8.1,0.0338665
no field map,1,,,datatype-dwi_run-1_suffix-dwi,7,16,,0.082,0.000266666,,90,,,,,,,,,70,3,0.75,j-,8.1,0.0338665
tr,,acquisition-VariantTr_datatype-dwi_run-1_suffix-dwi,,datatype-dwi_run-1_suffix-dwi,8,4,,0.082,0.000266666,datatype-fmap_fmap-phase1_suffix-phase1,90,,,,,,,,,70,3,0.75,j-,8.5,0.0338665
tr,,acquisition-VariantTr_datatype-dwi_run-1_suffix-dwi,,datatype-dwi_run-1_suffix-dwi,9,1,,0.082,0.000266666,datatype-fmap_fmap-phase1_suffix-phase1,90,,,,,,,,,70,3,0.75,j-,8.3,0.0338665
tr,,acquisition-VariantTr_datatype-dwi_run-1_suffix-dwi,,datatype-dwi_run-1_suffix-dwi,10,3,,0.082,0.000266666,datatype-fmap_fmap-phase1_suffix-phase1,90,,,,,,,,,70,3,0.75,j-,8.8,0.0338665
tr,,acquisition-VariantTr_datatype-dwi_run-1_suffix-dwi,,datatype-dwi_run-1_suffix-dwi,11,2,,0.082,0.000266666,datatype-fmap_fmap-phase1_suffix-phase1,90,,,,,,,,,70,3,0.75,j-,8.2,0.0338665
tr,,acquisition-VariantTr_datatype-dwi_run-1_suffix-dwi,,datatype-dwi_run-1_suffix-dwi,12,1,,0.082,0.000266666,datatype-fmap_fmap-phase1_suffix-phase1,90,,,,,,,,,70,3,0.75,j-,9.8,0.0338665
wrong slice times,1,,,datatype-dwi_run-1_suffix-dwi,13,2,,0.082,0.000266666,datatype-fmap_fmap-phase1_suffix-phase1,90,,,,,,,,,46,3,0.75,j-,8.1,0.0338665
"no field map, dwell time",1,,,datatype-dwi_run-1_suffix-dwi,14,2,1.8E-06,0.082,0.000266666,,90,,,,,,,,,70,3,0.75,j-,8.1,0.0338665
"tr, te ",,acquisition-VariantTr_datatype-dwi_run-1_suffix-dwi,,datatype-dwi_run-1_suffix-dwi,15,1,,0.102,0.000799969,datatype-fmap_fmap-phase1_suffix-phase1,90,,,,,,,,,70,,0.75,j-,12.3,0.101596
tr,,acquisition-VariantTr_datatype-dwi_run-1_suffix-dwi,,datatype-dwi_run-1_suffix-dwi,16,1,,0.082,0.000266666,datatype-fmap_fmap-phase1_suffix-phase1,90,,,,,,,,,70,3,0.75,j-,9.4,0.0338665
tr,,acquisition-VariantTr_datatype-dwi_run-1_suffix-dwi,,datatype-dwi_run-1_suffix-dwi,17,1,,0.082,0.000266666,datatype-fmap_fmap-phase1_suffix-phase1,90,,,,,,,,,70,3,0.75,j-,9.1,0.0338665
tr,,acquisition-VariantTr_datatype-dwi_run-1_suffix-dwi,,datatype-dwi_run-1_suffix-dwi,18,1,,0.082,0.000266666,datatype-fmap_fmap-phase1_suffix-phase1,90,,,,,,,,,70,3,0.75,j-,9.3,0.0338665
