Notes,ManualCheck,RenameKeyGroup,MergeInto,KeyGroup,ParamGroup,Counts,DwellTime,EchoTime,EffectiveEchoSpacing,FieldmapKey00,FlipAngle,IntendedForKey00,IntendedForKey01,IntendedForKey02,IntendedForKey03,IntendedForKey04,IntendedForKey05,IntendedForKey06,IntendedForKey07,NSliceTimes,ParallelReductionFactorInPlane,PartialFourier,PhaseEncodingDirection,RepetitionTime,TotalReadoutTime
tr,,acquisition-VariantTr_datatype-dwi_run-1_suffix-dwi,,datatype-dwi_run-1_suffix-dwi,19,1,,0.082,0.000266666,datatype-fmap_fmap-phase1_suffix-phase1,90,,,,,,,,,70,3,0.75,j-,9.2,0.0338665
"tr, dwell time",,acquisition-VariantTr_datatype-dwi_run-1_suffix-dwi,,datatype-dwi_run-1_suffix-dwi,20,1,1.8E-06,0.082,0.000266666,datatype-fmap_fmap-phase1_suffix-phase1,90,,,,,,,,,70,3,0.75,j-,8.3,0.0338665
tr,,acquisition-VariantTr_datatype-dwi_run-1_suffix-dwi,,datatype-dwi_run-1_suffix-dwi,21,1,,0.082,0.000266666,datatype-fmap_fmap-phase1_suffix-phase1,90,,,,,,,,,70,3,0.75,j-,8.6,0.0338665
dominant group,,,,datatype-dwi_run-2_suffix-dwi,1,1352,,0.082,0.000266666,datatype-fmap_fmap-phase1_suffix-phase1,90,,,,,,,,,70,3,0.75,j-,8.1,0.0338665
tr,,acquisition-VariantTr_datatype-dwi_run-1_suffix-dwi,,datatype-dwi_run-2_suffix-dwi,2,1,,0.082,0.000266666,datatype-fmap_fmap-phase1_suffix-phase1,90,,,,,,,,,70,3,0.75,j-,8.4,0.0338665
phasedif field map,,,,datatype-dwi_run-2_suffix-dwi,3,15,,0.082,0.000266666,datatype-fmap_fmap-phasediff_suffix-phasediff,90,,,,,,,,,70,3,0.75,j-,8.1,0.0338665
tr,,acquisition-VariantTr_datatype-dwi_run-1_suffix-dwi,,datatype-dwi_run-2_suffix-dwi,4,1,,0.082,0.000266666,datatype-fmap_fmap-phase1_suffix-phase1,90,,,,,,,,,70,3,0.75,j-,9,0.0338665
"phasedif, dwell time",,,,datatype-dwi_run-2_suffix-dwi,5,2,1.8E-06,0.082,0.000266666,datatype-fmap_fmap-phasediff_suffix-phasediff,90,,,,,,,,,70,3,0.75,j-,8.1,0.0338665
dwell time,,,,datatype-dwi_run-2_suffix-dwi,6,19,1.8E-06,0.082,0.000266666,datatype-fmap_fmap-phase1_suffix-phase1,90,,,,,,,,,70,3,0.75,j-,8.1,0.0338665
no field map,1,,,datatype-dwi_run-2_suffix-dwi,7,11,,0.082,0.000266666,,90,,,,,,,,,70,3,0.75,j-,8.1,0.0338665
tr,,acquisition-VariantTr_datatype-dwi_run-1_suffix-dwi,,datatype-dwi_run-2_suffix-dwi,8,4,,0.082,0.000266666,datatype-fmap_fmap-phase1_suffix-phase1,90,,,,,,,,,70,3,0.75,j-,8.5,0.0338665
tr,,acquisition-VariantTr_datatype-dwi_run-1_suffix-dwi,,datatype-dwi_run-2_suffix-dwi,9,1,,0.082,0.000266666,datatype-fmap_fmap-phase1_suffix-phase1,90,,,,,,,,,70,3,0.75,j-,8.3,0.0338665
tr,,acquisition-VariantTr_datatype-dwi_run-1_suffix-dwi,,datatype-dwi_run-2_suffix-dwi,10,3,,0.082,0.000266666,datatype-fmap_fmap-phase1_suffix-phase1,90,,,,,,,,,70,3,0.75,j-,8.8,0.0338665
tr,,acquisition-VariantTr_datatype-dwi_run-1_suffix-dwi,,datatype-dwi_run-2_suffix-dwi,11,2,,0.082,0.000266666,datatype-fmap_fmap-phase1_suffix-phase1,90,,,,,,,,,70,3,0.75,j-,8.2,0.0338665
tr,,acquisition-VariantTr_datatype-dwi_run-1_suffix-dwi,,datatype-dwi_run-2_suffix-dwi,12,1,,0.082,0.000266666,datatype-fmap_fmap-phase1_suffix-phase1,90,,,,,,,,,70,3,0.75,j-,9.8,0.0338665
wrong slice times,1,,,datatype-dwi_run-2_suffix-dwi,13,2,,0.082,0.000266666,datatype-fmap_fmap-phase1_suffix-phase1,90,,,,,,,,,46,3,0.75,j-,8.1,0.0338665
no field map,1,,,datatype-dwi_run-2_suffix-dwi,14,2,1.8E-06,0.082,0.000266666,,90,,,,,,,,,70,3,0.75,j-,8.1,0.0338665
tr,,acquisition-VariantTr_datatype-dwi_run-1_suffix-dwi,,datatype-dwi_run-2_suffix-dwi,15,1,,0.082,0.000266666,datatype-fmap_fmap-phase1_suffix-phase1,90,,,,,,,,,70,3,0.75,j-,9.1,0.0338665
tr,,acquisition-VariantTr_datatype-dwi_run-1_suffix-dwi,,datatype-dwi_run-2_suffix-dwi,16,1,,0.082,0.000266666,datatype-fmap_fmap-phase1_suffix-phase1,90,,,,,,,,,70,3,0.75,j-,9.3,0.0338665
tr,,acquisition-VariantTr_datatype-dwi_run-1_suffix-dwi,,datatype-dwi_run-2_suffix-dwi,17,1,,0.082,0.000266666,datatype-fmap_fmap-phase1_suffix-phase1,90,,,,,,,,,70,3,0.75,j-,9.2,0.0338665
"tr, dwell time",,acquisition-VariantTr_datatype-dwi_run-1_suffix-dwi,,datatype-dwi_run-2_suffix-dwi,18,1,1.8E-06,0.082,0.000266666,datatype-fmap_fmap-phase1_suffix-phase1,90,,,,,,,,,70,3,0.75,j-,8.3,0.0338665
tr,,acquisition-VariantTr_datatype-dwi_run-1_suffix-dwi,,datatype-dwi_run-2_suffix-dwi,19,1,,0.082,0.000266666,datatype-fmap_fmap-phase1_suffix-phase1,90,,,,,,,,,70,3,0.75,j-,8.6,0.0338665
,,,,datatype-fmap_fmap-magnitude1_suffix-magnitude1,1,1054,,0.00269,,,60,acquisition-se_suffix-asl,acquisition-singleband_datatype-func_suffix-bold_task-rest,datatype-dwi_run-1_suffix-dwi,datatype-dwi_run-2_suffix-dwi,datatype-func_suffix-bold_task-frac2back,datatype-func_suffix-bold_task-idemo,,,0,,1,j-,1,
,,,,datatype-fmap_fmap-magnitude1_suffix-magnitude1,2,31,,0.00269,,,60,acquisition-se_suffix-asl,datatype-func_suffix-bold_task-frac2back,datatype-func_suffix-bold_task-idemo,,,,,,0,,1,j-,1,
,,,,datatype-fmap_fmap-magnitude1_suffix-magnitude1,3,17,,0.00269,,,60,acquisition-singleband_datatype-func_suffix-bold_task-rest,datatype-dwi_run-1_suffix-dwi,datatype-dwi_run-2_suffix-dwi,datatype-func_suffix-bold_task-frac2back,datatype-func_suffix-bold_task-idemo,,,,0,,1,j-,1,
,,,,datatype-fmap_fmap-magnitude1_suffix-magnitude1,4,5,,0.00269,,,60,acquisition-se_suffix-asl,datatype-dwi_run-1_suffix-dwi,datatype-dwi_run-2_suffix-dwi,,,,,,0,,1,j-,1,
,,,,datatype-fmap_fmap-magnitude1_suffix-magnitude1,5,26,,0.00269,,,60,acquisition-se_suffix-asl,acquisition-singleband_datatype-func_suffix-bold_task-rest,datatype-dwi_run-1_suffix-dwi,datatype-dwi_run-2_suffix-dwi,datatype-func_suffix-bold_task-frac2back,datatype-func_suffix-bold_task-idemo,suffix-m0scan,,0,,1,j-,1,
,,,,datatype-fmap_fmap-magnitude1_suffix-magnitude1,6,170,,0.00269,,,60,acquisition-gre_suffix-asl,acquisition-se_suffix-asl,acquisition-singleband_datatype-func_suffix-bold_task-rest,datatype-dwi_run-1_suffix-dwi,datatype-dwi_run-2_suffix-dwi,datatype-func_suffix-bold_task-frac2back,datatype-func_suffix-bold_task-idemo,suffix-m0scan,0,,1,j-,1,
,,,,datatype-fmap_fmap-magnitude1_suffix-magnitude1,7,1,,0.00269,,,60,acquisition-se_suffix-asl,acquisition-singleband_datatype-func_suffix-bold_task-rest,datatype-func_suffix-bold_task-frac2back,,,,,,0,,1,j-,1,
,,,,datatype-fmap_fmap-magnitude1_suffix-magnitude1,8,14,,0.00269,,,60,acquisition-se_suffix-asl,datatype-func_suffix-bold_task-idemo,,,,,,,0,,1,j-,1,
,,,,datatype-fmap_fmap-magnitude1_suffix-magnitude1,9,63,,0.00269,,,60,acquisition-100_datatype-func_suffix-bold_task-rest,acquisition-se_suffix-asl,acquisition-singleband_datatype-func_suffix-bold_task-rest,datatype-dwi_run-1_suffix-dwi,datatype-dwi_run-2_suffix-dwi,datatype-func_suffix-bold_task-frac2back,datatype-func_suffix-bold_task-idemo,,0,,1,j-,1,
,,,,datatype-fmap_fmap-magnitude1_suffix-magnitude1,10,15,1.56E-05,0.00269,,,60,acquisition-se_suffix-asl,acquisition-singleband_datatype-func_suffix-bold_task-rest,datatype-dwi_run-1_suffix-dwi,datatype-dwi_run-2_suffix-dwi,datatype-func_suffix-bold_task-frac2back,datatype-func_suffix-bold_task-idemo,,,0,,1,j-,1,
,,,,datatype-fmap_fmap-magnitude1_suffix-magnitude1,11,14,,0.00269,,,60,acquisition-se_suffix-asl,datatype-dwi_run-1_suffix-dwi,datatype-dwi_run-2_suffix-dwi,datatype-func_suffix-bold_task-frac2back,datatype-func_suffix-bold_task-idemo,,,,0,,1,j-,1,
,,,,datatype-fmap_fmap-magnitude1_suffix-magnitude1,12,1,,0.00269,,,60,acquisition-se_suffix-asl,datatype-dwi_run-1_suffix-dwi,datatype-func_suffix-bold_task-frac2back,datatype-func_suffix-bold_task-idemo,,,,,0,,1,j-,1,
,,,,datatype-fmap_fmap-magnitude1_suffix-magnitude1,13,16,,0.00269,,,60,acquisition-se_suffix-asl,acquisition-singleband_datatype-func_suffix-bold_task-rest,datatype-func_suffix-bold_task-frac2back,datatype-func_suffix-bold_task-idemo,,,,,0,,1,j-,1,
,,,,datatype-fmap_fmap-magnitude1_suffix-magnitude1,14,4,,0.00269,,,60,acquisition-se_suffix-asl,datatype-dwi_run-1_suffix-dwi,datatype-dwi_run-2_suffix-dwi,datatype-func_suffix-bold_task-frac2back,,,,,0,,1,j-,1,
,,,,datatype-fmap_fmap-magnitude1_suffix-magnitude1,15,2,1.56E-05,0.00269,,,60,acquisition-se_suffix-asl,acquisition-singleband_datatype-func_suffix-bold_task-rest,datatype-func_suffix-bold_task-frac2back,datatype-func_suffix-bold_task-idemo,,,,,0,,1,j-,1,
,,,,datatype-fmap_fmap-magnitude1_suffix-magnitude1,16,5,,0.00269,,,60,acquisition-gre_suffix-asl,acquisition-se_suffix-asl,datatype-func_suffix-bold_task-frac2back,datatype-func_suffix-bold_task-idemo,suffix-m0scan,,,,0,,1,j-,1,
,,,,datatype-fmap_fmap-magnitude1_suffix-magnitude1,17,4,,0.00269,,,60,acquisition-se_suffix-asl,acquisition-singleband_datatype-func_suffix-bold_task-rest,datatype-func_suffix-bold_task-frac2back,datatype-func_suffix-bold_task-idemo,suffix-m0scan,,,,0,,1,j-,1,
,,,,datatype-fmap_fmap-magnitude1_suffix-magnitude1,18,2,,0.00269,,,60,acquisition-gre_suffix-asl,acquisition-se_suffix-asl,datatype-func_suffix-bold_task-frac2back,suffix-m0scan,,,,,0,,1,j-,1,
,,,,datatype-fmap_fmap-magnitude1_suffix-magnitude1,19,12,,0.00269,,,60,acquisition-se_suffix-asl,datatype-func_suffix-bold_task-frac2back,,,,,,,0,,1,j-,1,
,,,,datatype-fmap_fmap-magnitude1_suffix-magnitude1,20,1,,0.00269,,,60,datatype-dwi_run-1_suffix-dwi,datatype-dwi_run-2_suffix-dwi,datatype-func_suffix-bold_task-frac2back,datatype-func_suffix-bold_task-idemo,,,,,0,,1,j-,1,
,,,,datatype-fmap_fmap-magnitude1_suffix-magnitude1,21,10,,0.00269,,,60,datatype-func_suffix-bold_task-frac2back,datatype-func_suffix-bold_task-idemo,,,,,,,0,,1,j-,1,
,,,,datatype-fmap_fmap-magnitude1_suffix-magnitude1,22,2,,0.00269,,,60,acquisition-singleband_datatype-func_suffix-bold_task-rest,datatype-func_suffix-bold_task-frac2back,datatype-func_suffix-bold_task-idemo,,,,,,0,,1,j-,1,
,,,,datatype-fmap_fmap-magnitude1_suffix-magnitude1,23,7,,0.00269,,,60,acquisition-se_suffix-asl,acquisition-singleband_datatype-func_suffix-bold_task-rest,datatype-dwi_run-1_suffix-dwi,datatype-func_suffix-bold_task-frac2back,datatype-func_suffix-bold_task-idemo,,,,0,,1,j-,1,
,,,,datatype-fmap_fmap-magnitude1_suffix-magnitude1,24,2,,0.00269,,,60,acquisition-se_suffix-asl,acquisition-singleband_datatype-func_suffix-bold_task-rest,datatype-dwi_run-1_suffix-dwi,datatype-dwi_run-2_suffix-dwi,datatype-func_suffix-bold_task-idemo,,,,0,,1,j-,1,
,,,,datatype-fmap_fmap-magnitude1_suffix-magnitude1,25,2,,0.00269,,,60,acquisition-gre_suffix-asl,acquisition-se_suffix-asl,datatype-dwi_run-1_suffix-dwi,datatype-dwi_run-2_suffix-dwi,datatype-func_suffix-bold_task-frac2back,datatype-func_suffix-bold_task-idemo,suffix-m0scan,,0,,1,j-,1,
,,,,datatype-fmap_fmap-magnitude1_suffix-magnitude1,26,1,,0.00269,,,60,acquisition-100_datatype-func_suffix-bold_task-rest,acquisition-se_suffix-asl,acquisition-singleband_datatype-func_suffix-bold_task-rest,datatype-dwi_run-1_suffix-dwi,datatype-func_suffix-bold_task-frac2back,datatype-func_suffix-bold_task-idemo,,,0,,1,j-,1,
,,,,datatype-fmap_fmap-magnitude1_suffix-magnitude1,27,2,,0.00269,,,60,acquisition-se_suffix-asl,datatype-func_suffix-bold_task-frac2back,suffix-m0scan,,,,,,0,,1,j-,1,
,,,,datatype-fmap_fmap-magnitude1_suffix-magnitude1,28,1,,0.00269,,,60,acquisition-gre_suffix-asl,acquisition-se_suffix-asl,datatype-dwi_run-1_suffix-dwi,datatype-dwi_run-2_suffix-dwi,datatype-func_suffix-bold_task-idemo,suffix-m0scan,,,0,,1,j-,1,
,,,,datatype-fmap_fmap-magnitude1_suffix-magnitude1,29,2,1.56E-05,0.00269,,,60,acquisition-gre_suffix-asl,acquisition-se_suffix-asl,acquisition-singleband_datatype-func_suffix-bold_task-rest,datatype-dwi_run-1_suffix-dwi,datatype-dwi_run-2_suffix-dwi,datatype-func_suffix-bold_task-frac2back,datatype-func_suffix-bold_task-idemo,suffix-m0scan,0,,1,j-,1,
,,,,datatype-fmap_fmap-magnitude1_suffix-magnitude1,30,2,,0.00269,,,60,acquisition-gre_suffix-asl,acquisition-se_suffix-asl,acquisition-singleband_datatype-func_suffix-bold_task-rest,datatype-func_suffix-bold_task-frac2back,datatype-func_suffix-bold_task-idemo,suffix-m0scan,,,0,,1,j-,1,
,,,,datatype-fmap_fmap-magnitude1_suffix-magnitude1,31,1,1.56E-05,0.00269,,,60,acquisition-se_suffix-asl,datatype-dwi_run-1_suffix-dwi,datatype-func_suffix-bold_task-frac2back,datatype-func_suffix-bold_task-idemo,,,,,0,,1,j-,1,
,,,,datatype-fmap_fmap-magnitude1_suffix-magnitude1,32,3,1.56E-05,0.00269,,,60,acquisition-100_datatype-func_suffix-bold_task-rest,acquisition-se_suffix-asl,acquisition-singleband_datatype-func_suffix-bold_task-rest,datatype-dwi_run-1_suffix-dwi,datatype-dwi_run-2_suffix-dwi,datatype-func_suffix-bold_task-frac2back,datatype-func_suffix-bold_task-idemo,,0,,1,j-,1,
,,,,datatype-fmap_fmap-magnitude1_suffix-magnitude1,33,1,,0.00269,,,60,acquisition-se_suffix-asl,acquisition-singleband_datatype-func_suffix-bold_task-rest,datatype-dwi_run-1_suffix-dwi,datatype-dwi_run-2_suffix-dwi,,,,,0,,1,j-,1,
,,,,datatype-fmap_fmap-magnitude1_suffix-magnitude1,34,7,,0.00269,,,60,acquisition-100_datatype-func_suffix-bold_task-rest,acquisition-singleband_datatype-func_suffix-bold_task-rest,datatype-dwi_run-1_suffix-dwi,datatype-dwi_run-2_suffix-dwi,datatype-func_suffix-bold_task-frac2back,datatype-func_suffix-bold_task-idemo,,,0,,1,j-,1,
,,,,datatype-fmap_fmap-magnitude1_suffix-magnitude1,35,1,,0.00269,,,60,acquisition-singleband_datatype-func_suffix-bold_task-rest,datatype-dwi_run-1_suffix-dwi,datatype-func_suffix-bold_task-frac2back,datatype-func_suffix-bold_task-idemo,,,,,0,,1,j-,1,
,,,,datatype-fmap_fmap-magnitude1_suffix-magnitude1,36,1,,0.00269,,,60,acquisition-gre_suffix-asl,acquisition-se_suffix-asl,suffix-m0scan,,,,,,0,,1,j-,1,
,,,,datatype-fmap_fmap-magnitude1_suffix-magnitude1,37,1,,0.00269,,,60,acquisition-se_suffix-asl,acquisition-singleband_datatype-func_suffix-bold_task-rest,datatype-dwi_run-1_suffix-dwi,datatype-dwi_run-2_suffix-dwi,datatype-func_suffix-bold_task-frac2back,datatype-func_suffix-bold_task-hero,datatype-func_suffix-bold_task-idemo,,0,,1,j-,1,
,,,,datatype-fmap_fmap-magnitude1_suffix-magnitude1,38,1,,0.00269,,,60,acquisition-se_suffix-asl,datatype-dwi_run-1_suffix-dwi,datatype-dwi_run-2_suffix-dwi,datatype-func_suffix-bold_task-idemo,suffix-m0scan,,,,0,,1,j-,1,
,,,,datatype-fmap_fmap-magnitude1_suffix-magnitude1,39,1,,0.00269,,,60,acquisition-100_datatype-func_suffix-bold_task-rest,acquisition-se_suffix-asl,acquisition-singleband_datatype-func_suffix-bold_task-rest,datatype-func_suffix-bold_task-frac2back,datatype-func_suffix-bold_task-idemo,,,,0,,1,j-,1,
,,,,datatype-fmap_fmap-magnitude1_suffix-magnitude1,40,2,,0.00269,,,60,acquisition-se_suffix-asl,acquisition-singleband_datatype-func_suffix-bold_task-rest,datatype-dwi_run-1_suffix-dwi,datatype-dwi_run-2_suffix-dwi,datatype-func_suffix-bold_task-frac2back,,,,0,,1,j-,1,
,,,,datatype-fmap_fmap-magnitude1_suffix-magnitude1,41,2,,0.00269,,,60,acquisition-se_suffix-asl,,,,,,,,0,,1,j-,1,
,,,,datatype-fmap_fmap-magnitude1_suffix-magnitude1,42,1,,0.00269,,,60,acquisition-se_suffix-asl,datatype-func_suffix-bold_task-frac2back,datatype-func_suffix-bold_task-idemo,suffix-m0scan,,,,,0,,1,j-,1,
,,,,datatype-fmap_fmap-magnitude1_suffix-magnitude1,43,1,,0.00269,,,60,datatype-func_suffix-bold_task-frac2back,,,,,,,,0,,1,j-,1,
,,,,datatype-fmap_fmap-magnitude1_suffix-magnitude1,44,1,1.56E-05,0.00269,,,60,acquisition-se_suffix-asl,acquisition-singleband_datatype-func_suffix-bold_task-rest,datatype-dwi_run-1_suffix-dwi,datatype-func_suffix-bold_task-frac2back,datatype-func_suffix-bold_task-idemo,,,,0,,1,j-,1,
,,,,datatype-fmap_fmap-magnitude1_suffix-magnitude1,45,1,,0.00269,,,60,datatype-dwi_run-1_suffix-dwi,datatype-func_suffix-bold_task-frac2back,datatype-func_suffix-bold_task-idemo,,,,,,0,,1,j-,1,
,,,,datatype-fmap_fmap-magnitude2_suffix-magnitude2,1,1054,,0.00527,,,60,acquisition-se_suffix-asl,acquisition-singleband_datatype-func_suffix-bold_task-rest,datatype-dwi_run-1_suffix-dwi,datatype-dwi_run-2_suffix-dwi,datatype-func_suffix-bold_task-frac2back,datatype-func_suffix-bold_task-idemo,,,0,,1,j-,1,
,,,,datatype-fmap_fmap-magnitude2_suffix-magnitude2,2,31,,0.00527,,,60,acquisition-se_suffix-asl,datatype-func_suffix-bold_task-frac2back,datatype-func_suffix-bold_task-idemo,,,,,,0,,1,j-,1,
,,,,datatype-fmap_fmap-magnitude2_suffix-magnitude2,3,17,,0.00527,,,60,acquisition-singleband_datatype-func_suffix-bold_task-rest,datatype-dwi_run-1_suffix-dwi,datatype-dwi_run-2_suffix-dwi,datatype-func_suffix-bold_task-frac2back,datatype-func_suffix-bold_task-idemo,,,,0,,1,j-,1,
,,,,datatype-fmap_fmap-magnitude2_suffix-magnitude2,4,5,,0.00527,,,60,acquisition-se_suffix-asl,datatype-dwi_run-1_suffix-dwi,datatype-dwi_run-2_suffix-dwi,,,,,,0,,1,j-,1,
,,,,datatype-fmap_fmap-magnitude2_suffix-magnitude2,5,26,,0.00527,,,60,acquisition-se_suffix-asl,acquisition-singleband_datatype-func_suffix-bold_task-rest,datatype-dwi_run-1_suffix-dwi,datatype-dwi_run-2_suffix-dwi,datatype-func_suffix-bold_task-frac2back,datatype-func_suffix-bold_task-idemo,suffix-m0scan,,0,,1,j-,1,
,,,,datatype-fmap_fmap-magnitude2_suffix-magnitude2,6,170,,0.00527,,,60,acquisition-gre_suffix-asl,acquisition-se_suffix-asl,acquisition-singleband_datatype-func_suffix-bold_task-rest,datatype-dwi_run-1_suffix-dwi,datatype-dwi_run-2_suffix-dwi,datatype-func_suffix-bold_task-frac2back,datatype-func_suffix-bold_task-idemo,suffix-m0scan,0,,1,j-,1,
,,,,datatype-fmap_fmap-magnitude2_suffix-magnitude2,7,1,,0.00527,,,60,acquisition-se_suffix-asl,acquisition-singleband_datatype-func_suffix-bold_task-rest,datatype-func_suffix-bold_task-frac2back,,,,,,0,,1,j-,1,
,,,,datatype-fmap_fmap-magnitude2_suffix-magnitude2,8,14,,0.00527,,,60,acquisition-se_suffix-asl,datatype-func_suffix-bold_task-idemo,,,,,,,0,,1,j-,1,
